EmployeeID,JobRole,Department,MonthlyIncome,Age,YearsAtCompany,YearsSinceLastPromotion,OverTime,AttritionRiskScore,PersonaName,PersonaDescription,RecommendedIntervention
1,Sales Executive,Sales,5993,41,6,0,Yes,90.2,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
3,Laboratory Technician,Research & Development,2090,37,0,0,Yes,86.4,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
5,Laboratory Technician,Research & Development,3468,27,2,2,No,75.9,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
7,Laboratory Technician,Research & Development,2670,59,1,0,Yes,54.7,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
12,Laboratory Technician,Research & Development,4193,29,9,0,Yes,57.7,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
15,Laboratory Technician,Research & Development,2028,28,4,0,Yes,95.8,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
20,Research Scientist,Research & Development,3944,38,3,1,Yes,52.0,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
22,Sales Representative,Sales,3407,36,5,0,No,79.8,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
25,Research Scientist,Research & Development,2960,34,4,1,No,53.1,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
27,Research Scientist,Research & Development,3919,32,10,6,Yes,95.7,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
33,Laboratory Technician,Research & Development,2206,30,10,1,No,50.8,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
